Row,x00001,x00002,x00003,x00004,x00005,x00006,x00008,x00010,x00011,x00012,x00014,x00016,x00017,x00019,x00023,x00027,x00038,x00066,x00069,x00083,x00087,x00101,x00107,x00123,x00135,x00144,x00148,x00151,x00152,x00165,x00168,x00173,x00175,x00177,x00179,x00187,x00200,x00220,x00241,x00257,x00267,x00268,x00270,x00285,x00288,x00291,x00293,x00303,x00317,x00322,x00323,x00336,x00338,x00345,x00347,x00358,x00363,x00371,x00384,x00386,x00388,x00390,x00392,x00410,x00425,x00489,x00493,x00512,x00522,x00525,x00535,x00548,x00551,x00552,x00553,x00564,x00568,x00570,x00586,x00588,x00598,x00604,x00636,x00656,x00659,x00665,x00667,x00669,x00670,x00683,x00688,x00696,x00700,x00719,x00728,x00753,x00754,x00762,x00763,x00772,x00780,x00788,x00811,x00813,x00817,x00836,x00839,x00853,x00857,x00867,x00868,x00873,x00874,x00880,x00881,x00883,x00884,x00895,x00902,x00909,x00914,x00916,x00921,x00939,x00941,x00956,x00960,x00966,x00968,x00981,x00991,x00992,x00995,x00998,x01030,x01033,x01038,x01044,x01053,x01055,x01057,x01060,x01065,x01066,x01071,x01072,x01083,x01088,x01093,x01099,x01108,x01109,x01112,x01113,x01114,x01128,x01138,x01157,x01171,x01177,x01186,x01193,x01199,x01208,x01211,x01233,x01238,x01268,x01288,x01299,x01308,x01310,x01313,x01316,x01330,x01336,x01339,x01347,x01349,x01359,x01375,x01378,x01398,x01456,x01458,x01513,x01528,x01530,x01533,x01548,x01579,x01585,x01618,x01628,x01635,x01638,x01658,x01691,x01717,x01766,x01772,x01776,x01787,x01789,x01797,x01800,x01801,x01810,x01812,x01813,x01816,x01821,x01833,x01876,x01877,x01882,x01888,x01896,x01898,x01918,x01919,x01928,x01929,x01951,x01963,x01972,x01988,x01995,x01997,x01999,x02005,x02007,x02009,x02013,x02016,x02018,x02020,x02039,x02068,x02128,x02186,x02196,x02202,x02208,x02218,x02238,x02269,x02282,x02313,x02314,x02318,x02319,x02328,x02331,x02333,x02338,x02357,x02359,x02380,x02382,x02388,x02588,x02600,x02601,x02607,x02611,x02628,x02669,x02688,x02689,x02727,x02768,x02772,x02777,x02799,x02858,x02866,x02869,x02880,x02883,x02899,x03301,x03311,x03319,x03320,x03323,x03328,x03331,x03333,x03360,x03369,x03377,x03380,x03383,x03396,x03606,x03618,x03633,x03669,x03690,x03692,x03799,x03808,x03866,x03868,x03883,x03888,x03898,x03900,x03908,x03958,x03968,x03969,x03988,x03990,x03993,x03998,x06030,x06060,x06066,x06078,x06088,x06098,x06099,x06110,x06158,x06160,x06169,x06178,x06185,x06186,x06196,x06198,x06806,x06808,x06818,x06826,x06837,x06862,x06865,x06869,x06881,x06886,x06969,x09922,x09926,x09969,x09988,x09990
2012-07-10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,1,0,0,0,0,1,0,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,1,0,0,0,0,0,NaN,0,1,0,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,NaN,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,1,0,0,0,0,1,0,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,0,0,0,NaN,0,1,0,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,1,0,0,0,0,1,0,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,0,0,0,NaN,0,1,0,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,0,0,0,NaN,0,1,0,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,0,0,0,NaN,0,1,0,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,1,0,0,NaN,0,1,0,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,1,0,0,NaN,0,1,0,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,1,0,0,NaN,0,1,0,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,1,0,0,NaN,0,1,1,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,1,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,1,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,1,0,0,NaN,0,1,1,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,1,1,0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,1,0,0,NaN,0,1,1,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,1,0,0,NaN,0,1,1,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,NaN,1,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,0,0,NaN,1,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,1,0,0,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,0,1,1,0,0,0,0,1,0,0,NaN,0,0,1,NaN,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,0,NaN,NaN,0,0,1,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
